Point X,Point Y,Point Z,Heading,Type,Move
15586.4,3038.43,0,3.2062,2,1
15575.2,3037.7,0,3.2062,2,1
15575.2,3037.7,0,3.2062,2,1
15526.1,3028.86,0,3.43347,2,1
15499.9,3019.14,0,3.56047,2,1
15499.9,3019.14,0,3.56047,2,1
15362.9,2958.13,0,3.56047,4,1
-12684.6,-9529.42,0,3.56047,1,1
-12958.6,-9651.44,0,3.56047,5,1
-13006.2,-9666.43,0,3.3332,2,1
-13056,-9670.32,0,3.10593,2,1
-13105.3,-9662.9,0,2.87865,2,1
-13151.7,-9644.55,0,2.65138,2,1
-13167.2,-9635.42,0,2.56943,2,1
-13167.2,-9635.42,0,2.56943,2,1
-13209.3,-9608.35,0,2.56943,2,1
-13251.3,-9581.27,0,2.56943,2,1
-13293.4,-9554.2,0,2.56943,2,1
-13328,-9531.87,0,2.56943,2,1
-13328,-9531.87,0,2.56943,2,1
-13366.6,-9500.27,0,2.34216,2,1
-13397.1,-9460.79,0,2.11489,2,1
-13418,-9415.44,0,1.88762,2,1
-13428,-9366.58,0,1.66034,2,1
-13426.8,-9316.7,0,1.43307,2,1
-13414.4,-9268.38,0,1.2058,2,1
-13391.4,-9224.09,0,0.978525,2,1
-13359.1,-9186.12,0,0.751252,2,1
-13319,-9156.42,0,0.52398,2,1
-13298.4,-9145.92,0,0.418879,2,1
-13298.4,-9145.92,0,0.418879,2,1
-13161.4,-9084.91,0,0.418879,4,1
14586.7,3269.3,0,0.418879,1,1
14860.7,3391.32,0,0.418879,5,1
14903.7,3416.65,0,0.646152,2,1
14939.9,3451.02,0,0.873424,2,1
14967.4,3492.65,0,1.1007,2,1
14984.8,3539.41,0,1.32797,2,1
14991.2,3588.88,0,1.55524,2,1
14986.3,3638.54,0,1.78252,2,1
14970.4,3685.81,0,2.00979,2,1
14944.2,3728.28,0,2.23706,2,1
14909.1,3763.75,0,2.46433,2,1
14866.9,3790.4,0,2.69161,2,1
14819.8,3806.87,0,2.91888,2,1
14770.2,3812.3,0,3.14615,2,1
14757,3811.85,0,3.2062,2,1
14757,3811.85,0,3.2062,2,1
14707.1,3808.62,0,3.2062,2,1
14657.2,3805.39,0,3.2062,2,1
14607.3,3802.16,0,3.2062,2,1
14557.5,3798.93,0,3.2062,2,1
14507.6,3795.71,0,3.2062,2,1
14457.7,3792.48,0,3.2062,2,1
14407.8,3789.25,0,3.2062,2,1
14357.9,3786.02,0,3.2062,2,1
14308,3782.79,0,3.2062,2,1
14296.8,3782.07,0,3.2062,2,1
14296.8,3782.07,0,3.2062,2,1
14247.7,3773.22,0,3.43347,2,1
14221.5,3763.51,0,3.56047,2,1
14221.5,3763.51,0,3.56047,2,1
14084.5,3702.5,0,3.56047,4,1
-13330.8,-8503.58,0,3.56047,1,1
-13604.9,-8625.6,0,3.56047,5,1
-13652.5,-8640.59,0,3.3332,2,1
-13702.2,-8644.48,0,3.10593,2,1
-13751.5,-8637.06,0,2.87865,2,1
-13797.9,-8618.71,0,2.65138,2,1
-13839,-8590.38,0,2.42411,2,1
-13872.6,-8553.52,0,2.19684,2,1
-13897.1,-8510.04,0,1.96956,2,1
-13911.1,-8462.16,0,1.74229,2,1
-13914,-8412.35,0,1.51502,2,1
-13905.6,-8363.17,0,1.28774,2,1
-13886.3,-8317.16,0,1.06047,2,1
-13857.2,-8276.67,0,0.833199,2,1
-13819.7,-8243.78,0,0.605926,2,1
-13791.1,-8227.04,0,0.455461,2,1
-13791.1,-8227.04,0,0.455461,2,1
-13746.2,-8205.05,0,0.455461,2,1
-13701.3,-8183.06,0,0.455461,2,1
-13656.4,-8161.06,0,0.455461,2,1
-13611.5,-8139.07,0,0.455461,2,1
-13566.6,-8117.08,0,0.455461,2,1
-13521.7,-8095.08,0,0.455461,2,1
-13476.8,-8073.09,0,0.455461,2,1
-13431.9,-8051.09,0,0.455461,2,1
-13387,-8029.1,0,0.455461,2,1
-13342.1,-8007.11,0,0.455461,2,1
-13297.2,-7985.11,0,0.455461,2,1
-13252.3,-7963.12,0,0.455461,2,1
-13207.4,-7941.13,0,0.455461,2,1
-13162.5,-7919.13,0,0.455461,2,1
-13117.6,-7897.14,0,0.455461,2,1
-13072.7,-7875.14,0,0.455461,2,1
-13027.8,-7853.15,0,0.455461,2,1
-12982.9,-7831.16,0,0.455461,2,1
-12938,-7809.16,0,0.455461,2,1
-12893.1,-7787.17,0,0.455461,2,1
-12848.2,-7765.17,0,0.455461,2,1
-12803.3,-7743.18,0,0.455461,2,1
-12758.4,-7721.19,0,0.455461,2,1
-12713.5,-7699.19,0,0.455461,2,1
-12668.6,-7677.2,0,0.455461,2,1
-12623.7,-7655.21,0,0.455461,2,1
-12578.8,-7633.21,0,0.455461,2,1
-12533.9,-7611.22,0,0.455461,2,1
-12489,-7589.22,0,0.455461,2,1
-12444.1,-7567.23,0,0.455461,2,1
-12399.1,-7545.24,0,0.455461,2,1
-12354.2,-7523.24,0,0.455461,2,1
-12309.3,-7501.25,0,0.455461,2,1
-12264.4,-7479.25,0,0.455461,2,1
-12219.5,-7457.26,0,0.455461,2,1
-12174.6,-7435.27,0,0.455461,2,1
-12129.7,-7413.27,0,0.455461,2,1
-12084.8,-7391.28,0,0.455461,2,1
-12039.9,-7369.29,0,0.455461,2,1
-11995,-7347.29,0,0.455461,2,1
-11950.1,-7325.3,0,0.455461,2,1
-11905.2,-7303.3,0,0.455461,2,1
-11860.3,-7281.31,0,0.455461,2,1
-11815.4,-7259.32,0,0.455461,2,1
-11770.5,-7237.32,0,0.455461,2,1
-11725.6,-7215.33,0,0.455461,2,1
-11680.7,-7193.33,0,0.455461,2,1
-11635.8,-7171.34,0,0.455461,2,1
-11590.9,-7149.35,0,0.455461,2,1
-11546,-7127.35,0,0.455461,2,1
-11501.1,-7105.36,0,0.455461,2,1
-11456.2,-7083.37,0,0.455461,2,1
-11411.3,-7061.37,0,0.455461,2,1
-11366.4,-7039.38,0,0.455461,2,1
-11321.5,-7017.38,0,0.455461,2,1
-11276.6,-6995.39,0,0.455461,2,1
-11231.7,-6973.4,0,0.455461,2,1
-11186.8,-6951.4,0,0.455461,2,1
-11141.9,-6929.41,0,0.455461,2,1
-11097,-6907.41,0,0.455461,2,1
-11052.1,-6885.42,0,0.455461,2,1
-11007.2,-6863.43,0,0.455461,2,1
-10962.3,-6841.43,0,0.455461,2,1
-10917.4,-6819.44,0,0.455461,2,1
-10872.5,-6797.45,0,0.455461,2,1
-10827.5,-6775.45,0,0.455461,2,1
-10782.6,-6753.46,0,0.455461,2,1
-10737.7,-6731.46,0,0.455461,2,1
-10692.8,-6709.47,0,0.455461,2,1
-10647.9,-6687.48,0,0.455461,2,1
-10603,-6665.48,0,0.455461,2,1
-10558.1,-6643.49,0,0.455461,2,1
